# Medication database
# Format: Name | Active substances (comma-separated) | Type
Texibax | Esomeprazolum (esomeprazol magnezowy, amorficzny) 20,7 mg | IPP
Aspimag | Acidum acetylsalicylicum 150 mg + Magnesii oxidum 21 mg | Leki przeciwpłytkowe
Aspirin | Acidum acetylsalicylicum 500 mg | Leki działające na układ nerwowy
Aspirin C | Acidum acetylsalicylicum 400 mg + Acidum ascorbicum 240 mg | Leki działające na układ nerwowy
Aspirin Cardio | Acidum acetylsalicylicum 100 mg | Leki przeciwpłytkowe
Glucosum 20% Fresenius | Glucosum 220 g | Leki działające na krew i układ krwiotwórczy
Atarax | Hydroxyzini hydrochloridum 10 mg | Leki działające na układ nerwowy
Atecortin | Oxytetracyclini hydrochloridum 5 mg/ml + Polymyxini B sulfas 10000 jm.m/ml + Hydrocortisoni acetas 15 mg | Leki okulistyczne i otologiczne
Atropinum sulfuricum WZF 1% | Atropini sulfas 10 mg | Leki okulistyczne i otologiczne
Atrovent | Ipratropii bromidum 0.025 g | Leki układu oddechowego
Augmentin | Amoxicillinum 250 mg + Acidum clavulanicum 125 mg | Penicyliny z inhibitorami beta-laktamaz
Aurorix | Moclobemidum 150 mg | Leki działające na układ nerwowy
Aviomarin | Dimenhydrinatum 50 mg | Leki przewodu pokarmowego i metaboliczne
Neoazarina | Thymi herba pulveratum 316 mg + Codeini phosphas 10 mg | Leki układu oddechowego
Azucalen | Calendulae extractum 0,5 ml/ml + Chamomillae extractum 0,5 ml/ml | Farmakologiczna grupa nieokreślona
Azulan | Chamomillae extractum 100 g | Farmakologiczna grupa nieokreślona
Baclofen Polpharma | Baclofenum 25 mg | Leki układu mięśniowo‑szkieletowego
Bactrim | Sulfamethoxazolum 200 mg/5 ml + Trimethoprimum 40 mg/5 ml | Leki przeciwbakteryjne i przeciwzakaźne
Bactrim Forte | Sulfamethoxazolum 800 mg + Trimethoprimum 160 mg | Leki przeciwbakteryjne i przeciwzakaźne
Bactroban | Mupirocinum 2.2 % | Leki dermatologiczne
Bals Sulphur żel | Woda chlorkowo-sodowa (solanka), siarczkowa, fluorkowa, jodkowa 96,50 g/100 g | Farmakologiczna grupa nieokreślona
Balsolan | Balsamum peruvianum 10 g | Farmakologiczna grupa nieokreślona
Barium sulfuricum Medana | Barii sulfas 200 g | Pozostałe produkty lecznicze
Debridat | Trimebutinum 0.787 g | Leki przewodu pokarmowego i metaboliczne
Bellapan | Zespół alkaloidów tropanowych w przeliczeniu na siarczan atropiny 0.00025 g | Leki przewodu pokarmowego i metaboliczne
Bellergot | Ergotamini tartras 0.3 mg + Atropinum 0.1 mg + Phenobarbitalum 20 mg | Farmakologiczna grupa nieokreślona
Bengay Maść Przeciwbólowa | Methylis salicylas 150 mg/g + Mentholum 100 mg/g | Leki układu mięśniowo‑szkieletowego
Benalapril 5 | Enalaprili maleas 5 mg | ACEI
Benzacne | Benzoylis peroxidum 10 g | Leki dermatologiczne
Rivaldo | Rivastigminum 1.5 mg | Leki działające na układ nerwowy
Bepanthen Plus | Dexpanthenolum 50 mg/g + Chlorhexidini dihydrochloridum 5 mg/g | Leki dermatologiczne
Berodual | Fenoteroli hydrobromidum 0.5 mg/ml + Ipratropii bromidum 0.25 mg/ml | Leki układu oddechowego
Berotec N 100 | Fenoteroli hydrobromidum 100 mcg | Leki układu oddechowego
Beta-Karoten Amara | Betacarotenum (E 160) 10 mg | Leki przewodu pokarmowego i metaboliczne
