# Medication database
# Format: Name | Active substances (comma-separated) | Type
Kalii chloridum 0,3% + Glucosum 5% Kabi | Kalii chloridum + Glucosum monohydricum | Leki działające na krew i układ krwiotwórczy
Dutilox | Duloxetini hydrochloridum | Inne leki przeciwdepresyjne
Fluticomb | Salmeterolum 25 mcg + Fluticasoni propionas 50 mcg | Leki układu oddechowego
Aripiprazole Zentiva | Aripiprazolum 5 mg | Leki działające na układ nerwowy
Sileo | Dexmedetomidini hydrochloridum 0,1 mg | Farmakologiczna grupa nieokreślona
NiQuitin Extra Fresh | Nicotini resinas 14.2 mg | Leki działające na układ nerwowy
NiQuitin Fruit | Nicotinum 2 mg | Leki działające na układ nerwowy
Orilan | Miconazoli nitras 23 mg/1 ml + Prednisoloni acetas 5 mg/1 ml + Polimyxini B sulfas 0.5293 mg/1 ml | Farmakologiczna grupa nieokreślona
Aribit | Aripiprazolum 5 | Leki działające na układ nerwowy
Brinzolamide Genoptim | Brinzolamidum 10 mg/ml | Leki okulistyczne i otologiczne
Famenita | Progesteronum 100 mg | Leki układu moczowo‑płciowego i hormony płciowe
Lecardi | Acidum acetylsalicylicum 75 mg | Leki przeciwpłytkowe
Desfluran Piramal | Desfluranum 100 % v/v | Leki działające na układ nerwowy
Lutrate Depot | Leuprorelini acetas 22,5 mg | Leki przeciwnowotworowe i immunomodulujące
Ibuprofen Lysine InnFarm | Ibuprofenum lysinum 342 mg | NLPZ
Aquacoli | Colistini sulfas 2 mln j.m. | Farmakologiczna grupa nieokreślona
Altażel Oceanic | Aluminii acetas tartras 10 mg/g | Leki dermatologiczne
Toselix forte | Butamirati citras 1.5 mg/ml | Leki układu oddechowego
Bendamustyna medac | Bendamustini hydrochloridum monohydricum 26,1 mg/fiolkę | Leki przeciwnowotworowe i immunomodulujące
Alergimed | Levocetirizini dihydrochloridum 5 mg/ tabletkę | Leki układu oddechowego
Mel | Meloxicamum 7.5 mg | Leki układu mięśniowo‑szkieletowego
MEL MAX | Meloxicamum 15 mg | Leki układu mięśniowo‑szkieletowego
Repatha | Evolocumabum 140 mg | Leki układu sercowo‑naczyniowego
Evotaz | Atazanavirum 300 mg + Cobicistatum 150 mg | Leki przeciwbakteryjne i przeciwzakaźne
Pregabalin Zentiva | Pregabalinum 25 mg | Leki działające na układ nerwowy
Aripilek | Aripiprazolum 10 mg | Leki działające na układ nerwowy
Cefazolin Dali Pharma | Cefazolinum natricum 1048.4 mg | Leki przeciwbakteryjne i przeciwzakaźne
Oribion | Bupropioni hydrochloridum 150 mg | Inne leki przeciwdepresyjne
Bortezomib Adamed | Bortezomibum 1 mg | Leki przeciwnowotworowe i immunomodulujące
Rasagiline Vipharm | Rasagilini hemitartras 1,438 mg | Leki działające na układ nerwowy
Tadalafil Teva | Tadalafilum 5 mg | Leki układu moczowo‑płciowego i hormony płciowe
Aripiprazole Orion | Aripiprazolum 5 mg | Leki działające na układ nerwowy
Explemed | Aripiprazolum 10 mg | Leki działające na układ nerwowy
Sumigra 100 | Sumatriptanum 100 mg | Leki działające na układ nerwowy
Sumigra 50 | Sumatriptanum 50 mg | Leki działające na układ nerwowy
Flurhinal | Fluticasoni propionas 125 mikrogramów/ dawkę inhalacyjną | Leki układu oddechowego
Furocef | Cefuroximum 250 mg | Leki przeciwbakteryjne i przeciwzakaźne
Bortezomib Glenmark | Bortezomibum 1 mg | Leki przeciwnowotworowe i immunomodulujące
Spiolto Respimat | Olodaterolum 2,5 mcg + Tiotropium 2,5 mcg | Leki układu oddechowego
Yanimo Respimat | Olodateroli hydrochloridum 2,76 mcg + Tiotropii bromidum monohydricum 3,124 mcg | Leki układu oddechowego
Cyclolux | Acidum gadotericum 0,5 mmol/ ml | Pozostałe produkty lecznicze
Cyclolux multidose | Acidum gadotericum 0,5 mmol/ ml | Pozostałe produkty lecznicze
Candezek Combi | Candesartanum cilexetili 8 mg + Amlodipini besilas 6,935 mg | Leki układu sercowo‑naczyniowego
Zanacodar Combi | Telmisartanum 40 mg + Hydrochlorothiazidum 12.5 mg | ARB + diuretyki
Atozet | Ezetimibum 10 mg + Atorvastatinum 10 mg | Leki układu sercowo‑naczyniowego
Cefox | Cefuroximum axetilum 300.72 mg | Leki przeciwbakteryjne i przeciwzakaźne
Astha | Ethinylestradiolum 0.03 mg + Dienogestum 2 mg | Leki układu moczowo‑płciowego i hormony płciowe
Melabiorytm | Melatoninum 5.1 mg | Leki działające na układ nerwowy
Duloxetine Sandoz | Duloxetini hydrochloridum 30 mg | Inne leki przeciwdepresyjne
Hiconcil combi | Amoxicillinum 500 mg + Acidum clavulanicum 125 mg | Penicyliny z inhibitorami beta-laktamaz
Mometaxon | Mometasoni furoas 1 mg/g | Leki dermatologiczne
Sincrovall | D-cloprostenol 75 mcg/1 ml | Farmakologiczna grupa nieokreślona
Septolete ultra | Benzydamini hydrochloridum + Cetylpyridinii chloridum | Leki układu oddechowego
Septolete ultra o smaku eukaliptusowym | Benzydamini hydrochloridum 3 mg + Cetylpyridinii chloridum 1 mg | Leki układu oddechowego
Masterflox | Marbofloxacinum 40 mg/ml | Farmakologiczna grupa nieokreślona
InfectoFos | Fosfomycinum | Leki przeciwbakteryjne i przeciwzakaźne
Drotafemme | Drotaverini hydrochloridum 40 mg | Leki przewodu pokarmowego i metaboliczne
Drotafemme Forte | Drotaverini hydrochloridum 80 mg | Leki przewodu pokarmowego i metaboliczne
Alepton | Acidum acetylsalicylicum 100 mg | Leki przeciwpłytkowe
Jinarc | Tolvaptanum 15 mg | Leki układu sercowo‑naczyniowego
Apap NBG | Paracetamolum 500 mg + Coffeinum 50 mg | Leki działające na układ nerwowy
Akynzeo | Netupitantum 300 mg + Palonosetroni hydrochloridum 0.5 mg | Leki przewodu pokarmowego i metaboliczne
Lenvima | Lenvatinibum 4 mg | Leki przeciwnowotworowe i immunomodulujące
Tranexamic acid Accord | Acidum tranexamicum 100 mg/ml | Leki działające na krew i układ krwiotwórczy
Aripiprazole +pharma | Aripiprazolum 15 mg | Leki działające na układ nerwowy
Pregabalin Sandoz | Pregabalinum 25 mg | Leki działające na układ nerwowy
Optivate | Ludzki VIII czynnik krzepnięcia krwi 250 IU | Leki działające na krew i układ krwiotwórczy
Tlen medyczny sprężony SIAD | Oxygenium 99,5 % | Pozostałe produkty lecznicze
Tlen medyczny skroplony SIAD | Oxygenium 99,5 % | Pozostałe produkty lecznicze
Gerdin 20 mg | Pantoprazolum 20 mg | IPP
Gerdin 40 mg | Pantoprazolum 40 mg | IPP
Gerdin Max | Pantoprazolum 20 mg | IPP
Maxiseptic | Octenidini dihydrochloridum 1 mg/ml + Phenoxyethanolum 20 mg/ml | Leki dermatologiczne
Lenzetto | Estradiolum 1,53 mg/dawkę | Leki układu moczowo‑płciowego i hormony płciowe
Pascoflair | Passiflorae herba extractum siccum (5-7:1) 425 mg | Farmakologiczna grupa nieokreślona
Srivasso | Tiotropii bromidum monohydricum 22,5 mcg | Leki układu oddechowego
Ketoprofen Ziaja | Ketoprofenum 25 mg/1 g | Leki układu mięśniowo‑szkieletowego
Eupirin Cardio | Acidum acetylsalicylicum 75 mg | Leki przeciwpłytkowe
Bonacard | Acidum acetylsalicylicum 150 mg | Leki przeciwpłytkowe
Symazide MR 30 | Gliclazidum 30 mg | Pochodne sulfonylomocznika
Escitalopram Aurovitas | Escitaloprami oxalas | SSRI
AuroValsart | Valsartanum 80 mg | ARB
Levofloxacin Aurovitas | Levofloxacini hemihydras | Fluorochinolony
Salbetan | Betamethasoni dipropionas 0,64 mg/g + Acidum salicylicum 20 mg/g | Leki dermatologiczne
Podtlenek azotu SIAD | Dinitrogenii oxidum 100% v/v | Leki działające na układ nerwowy
Mydrane | Tropicamidum 0.2 mg/ml + Phenylephrini hydrochloridum 3.1 mg/ml + Lidocaini hydrochloridum monohydricum 10 mg/ml | Leki okulistyczne i otologiczne
Benfogamma Forte | Benfothiaminum 300 mg | Leki przewodu pokarmowego i metaboliczne
Synjardy | Empagliflozinum 5 mg + Metformini hydrochloridum 850 mg | Leki przewodu pokarmowego i metaboliczne
Acecardin | Acidum acetylsalicylicum 75 mg | Leki przeciwpłytkowe
Eubiocard | Acidum acetylsalicylicum 150 mg | Leki przeciwpłytkowe
ApoRami | Ramiprilum | ACEI
Azithromycin Aurovitas | Azithromycinum dihydricum 262 mg | Makrolidy
Nevirapine Accord | Nevirapinum anhydricum 400 mg | Leki przeciwbakteryjne i przeciwzakaźne
Osaver | Olmesartanum medoxomilum 10 mg | ARB
Osaver HCT | Olmesartanum medoxomilum 20 mg + Hydrochlorothiazidum 12.5 mg | ARB
Lixiana | Edoxabanum 15 mg | DOAC
Pregabalin Viatris | Pregabalinum 25 mg | Leki działające na układ nerwowy
Trexan Neo | Methotrexatum 2,5 mg | Leki przeciwnowotworowe i immunomodulujące
Lidocaine Accord | Lidocaini hydrochloridum 10 mg | Leki działające na układ nerwowy
Duloxetine Viatris | Duloxetinum 30 mg | Inne leki przeciwdepresyjne
Dekristol | Cholecalciferolum 20 000 IU | Leki przewodu pokarmowego i metaboliczne
Auglavin PPH | Amoxicillinum 400 mg/ 5 ml + Acidum clavulanicum 57 mg/ 5 ml | Penicyliny z inhibitorami beta-laktamaz
Auglavin PPH Extra | Amoxicillinum 600 mg/ 5 ml + Acidum clavulanicum 42,9mg/ 5 ml | Penicyliny z inhibitorami beta-laktamaz
Levomer | Levofloxacinum 5 mg/ml | Leki okulistyczne i otologiczne
Afenix | Solifenacini succinas 10 mg | Leki układu moczowo‑płciowego i hormony płciowe
Rabipur | Vaccinum rabiei ex cellulis ad usum humanum Szczepionka przeciw wściekliźnie stosowana u ludzi, produkowana w hodowlach komórkowych ≥ 2,5 IE | Leki przeciwbakteryjne i przeciwzakaźne
Duloxetine Zentiva | Duloxetinum 30 mg | Inne leki przeciwdepresyjne
Farydak | Panobinostatum 10 mg | Leki przeciwnowotworowe i immunomodulujące
Sildenafil Espefa | Sildenafilum 100 mg | Leki układu moczowo‑płciowego i hormony płciowe
Cholinex Direct | Flurbiprofen 8,75 mg | Leki układu oddechowego
Paracetamol Accord | Paracetamolum 500 mg | Leki działające na układ nerwowy
Dynexan | Lidocaini hydrochloridum 20 mg/g | Leki działające na układ nerwowy
Amylan | Amoxicillinum 500 mg + Acidum clavulanicum 125 mg | Penicyliny z inhibitorami beta-laktamaz
UpCard | Torasemidum 0.75 mg | Farmakologiczna grupa nieokreślona
Noctis | Doxylamini hydrogenosuccinas 12.5 mg/tabl. | Leki układu oddechowego
Atosiban Accord | Atosibanum 37,5 mg/5 ml | Leki układu moczowo‑płciowego i hormony płciowe
Aribit ODT | Aripiprazolum 10 mg | Leki działające na układ nerwowy
Noctis Forte | Doxylamini hydrogenosuccinas 25 mg | Leki układu oddechowego
Adenosine Kabi | Adenosinum 3 mg/ml | Leki układu sercowo‑naczyniowego
Triveram | Atorvastatinum calcicum trihydricum 10.82 mg + Perindoprilum argininum 5 mg + Amlodipini besilas 6.935 mg | Leki układu sercowo‑naczyniowego
Bendamustine Zentiva | Bendamustini hydrochloridum monohydricum (monohydricum) 26.1 mg/fiolkę lub 104.6 mg/fiolkę | Leki przeciwnowotworowe i immunomodulujące
Fluconazole Genoptim | Fluconazolum 50 mg | Leki przeciwbakteryjne i przeciwzakaźne
Ditrisol | Sulfamethoxazolum 80 mg/1 ml + Trimethoprimum 20 mg/1 ml | Farmakologiczna grupa nieokreślona
Hetlioz | Tasimelteonum 20 mg | Leki działające na układ nerwowy
Diazepam Genoptim | Diazepamum 2 mg | Leki działające na układ nerwowy
Clensia | Macrogolum 4000 52,500 mg + sodu siarczan bezwodny 3,750 g + symetykon 0,080 g + sodu cytrynian 1,863 g + Acidum citricum 0,813 g + Natrii chloridum 0,730 mg + potasu chlorek 0,370 g | Leki przewodu pokarmowego i metaboliczne
Bendamustine Glenmark | Bendamustini hydrochloridum monohydricum 25 mg/fiolkę lub 100 mg/fiolkę | Leki przeciwnowotworowe i immunomodulujące
Lumark | Lutetii (177Lu) Chloridum 80 GBq/ml | Pozostałe produkty lecznicze
Bortezomib Accord | Bortezomibum 3.5 mg | Leki przeciwnowotworowe i immunomodulujące
Rectodelt | Prednisonum 100 mg | Leki hormonalne
Doxazosin Aurovitas | Doxazosinum 2 mg | Leki układu sercowo‑naczyniowego
ApoSuprid | Amisulpridum 200 mg | Leki działające na układ nerwowy
Omidria | Trometamolum 11,5 mg (2,88 mg/ml) + Phenylephrini hydrochloridum 40,6 mg (10,2 mg/ml) | Leki okulistyczne i otologiczne
Pranosin | Inosinum pranobexum 50 mg/ml | Leki przeciwbakteryjne i przeciwzakaźne
Predasol | Prednisoloni hemisuccinas 50 mg | Leki hormonalne
Fulvestrant Sandoz | Fulvestrantum 250 mg/ 5ml | Leki przeciwnowotworowe i immunomodulujące
Hedussin | Hederae helicis folii extractum siccum 33 mg/4 ml | Leki układu oddechowego
Aripiprazole Aurovitas | Aripiprazolum 15 mg | Leki działające na układ nerwowy
Cefuroxime Axetil Aurovitas | Cefuroximum axetilum 500 mg | Leki przeciwbakteryjne i przeciwzakaźne
Lactulosum Orifarm Forte | Lactulosum 667 mg/ml | Leki przewodu pokarmowego i metaboliczne
Teicopix | Teicoplaninum 200 mg | Leki przeciwbakteryjne i przeciwzakaźne
Aricogan | Aripiprazolum 5 mg | Leki działające na układ nerwowy
Terlipressini acetas EVER Pharma | Terlipressini acetas 0,2 mg/ml | Leki hormonalne
Belkyra | Acidum deoxycholicum 10 mg/ml | Leki dermatologiczne
Anaestamine | Ketamini hydrochloridum 100 mg/1 ml | Farmakologiczna grupa nieokreślona
Alocutan Forte | Minoxidilum 50 mg/ml | Leki dermatologiczne
Alocutan | Minoxidilum 20 mg | Leki dermatologiczne
Nimatek | Ketaminum 100 mg/ml | Farmakologiczna grupa nieokreślona
Vetmedin vet. | Pimobendanum 1.25 mg | Farmakologiczna grupa nieokreślona
Neurovit Fast | Thiamini hydrochloridum 100 mg/ml + Pyridoxini hydrochloridum 100 mg/ml + Cyanocobalaminum 1 mg/ml | Leki przewodu pokarmowego i metaboliczne
Euthanimal | Pentobarbitalum natricum 200 mg/ml | Farmakologiczna grupa nieokreślona
Espacox | Toltrazurilum 50 mg/ml | Farmakologiczna grupa nieokreślona
Praluent | Alirocumabum 75 mg | Leki układu sercowo‑naczyniowego
Aripiprazole Mylan Pharma | Aripiprazolum 5 mg | Leki działające na układ nerwowy
Sitagliptin Polpharma | Sitagliptinum 25 mg | Inhibitory DPP-4
Ganapar | D-Cloprostenolum 75 mcg/1 ml | Farmakologiczna grupa nieokreślona
Spotinor | Deltamethrinum 10 mg/ml | Farmakologiczna grupa nieokreślona
Cefquinor DC | Cefquinomum (Cefquinomi sulfas) 150 mg | Farmakologiczna grupa nieokreślona
Teysuno | Tegafurum 15 mg + Gimeracilum 4.35 mg + Oteracilum 11.8 mg | Leki przeciwnowotworowe i immunomodulujące
VaxigripTetra | Wirus grypy (inaktywowany, rozszczepiony) Szczepy:  A/Victoria/4897/2022 (H1N1)pdm09–podobny szczep (A/Victoria/4897/2022, IVR-238) A/Darwin/9/2021 (H3N2)–podobny szczep (A/Darwin/9/2021, IVR-228) B/Austria/1359417/2021–podobny szczep (B/Michigan/01/2021, typ dziki) B/Phuket/3073/2013–podobny szczep (B/Phuket/3073/2013, typ dziki) zgodnie z zaleceniami WHO oraz wytycznymi EMA na sezon 2023/2024. | Leki przeciwbakteryjne i przeciwzakaźne
INALDIN Gardło Max | Benzydamine hydrochloride 3 mg/ml | Leki przewodu pokarmowego i metaboliczne
Pregabalin Accord | Pregabalinum 25 mg | Leki działające na układ nerwowy
Hascovir Control | Aciclovirum 200 mg | Leki przeciwbakteryjne i przeciwzakaźne
Hascovir control MAX | Aciclovirum 400 mg | Leki przeciwbakteryjne i przeciwzakaźne
Aripiprazole Sandoz | Aripiprazolum 5 mg | Leki działające na układ nerwowy
Aciclovir Ziaja | Aciclovirum 50 mg/g | Leki dermatologiczne
Ancesol | Chlorphenamini maleas 10 mg/ml | Farmakologiczna grupa nieokreślona
Solifenacin Medreg | Solifenacini succinas 5 mg | Leki układu moczowo‑płciowego i hormony płciowe
Paroxetine Aurovitas | Paroxetinum 20 mg | SSRI
Frontline Tri-Act | Fipronil 33.8 mg/0.5 ml + Permethrinum 252.4 mg/0.5 ml | Farmakologiczna grupa nieokreślona
Moxifloxacin Aurovitas | Moxifloxacinum 400 mg | Fluorochinolony
Klean-prep | Macrogolum 3350 59 g + Natrii sulfas anhydricus 5.685 g + Natrii hydrocarbonas 1.685 g + Natrii chloridum 1.465 g + Kalii chloridum 0.7425 g | Leki przewodu pokarmowego i metaboliczne
Gabacol | Gabapentinum 100 mg | Leki działające na układ nerwowy
Odomzo | Sonidegibum 200 mg | Leki przeciwnowotworowe i immunomodulujące
Gabapentin Aurovitas | Gabapentinum 100 mg | Leki działające na układ nerwowy
Atorvastatin Aurovitas | Atorvastatinum calcicum trihydricum 10 mg | Statyny
Kanuma | Sebelipazum alfa 2 mg/ml | Leki przewodu pokarmowego i metaboliczne
Strensiq | Asfotasum alfa 40 mg/ml | Leki przewodu pokarmowego i metaboliczne
Raxone | Idebenonum 150 mg | Leki działające na układ nerwowy
Nutryelt Pediatric | Zinci gluconas 6970 mcg + Miedzi glukonian 1428 mcg + Manganu glukonian 40.52 mcg + Kalii iodidum 13.08 mcg + Sodu selenin 43.81 mcg | Leki działające na krew i układ krwiotwórczy
Amatib | Amoxicillinum trihydricum 800 mg/g | Farmakologiczna grupa nieokreślona
Lustork | Progesteronum 50 mg | Leki układu moczowo‑płciowego i hormony płciowe
Hydroxyzinum Amara | Hydroxyzini hydrochloridum 0.2 mg/100 ml | Leki działające na układ nerwowy
Pemetrexed Sandoz | Pemetrexedum 100 mg | Leki przeciwnowotworowe i immunomodulujące
Zerbaxa | Ceftolozanum 1 g + Tazobactamum 0.5 g | Leki przeciwbakteryjne i przeciwzakaźne
Respreeza | alfa-1-Proteinasi inhibitor humanus 1000 mg | Leki działające na krew i układ krwiotwórczy
Supremin MAX | Butamirati citras 1.5 mg/ml | Leki układu oddechowego
Fortacin | Lidocainum 150 mg/ml + Prilocainum 50 mg/ml | Leki działające na układ nerwowy
Uronorm | Solifenacini succinas 5 mg | Leki układu moczowo‑płciowego i hormony płciowe
Porcilis PCV ID | Antygen podjednostkowy cirkowirusa świń typ 2 (ORF2)              ≥ 1436 AU^1 | Farmakologiczna grupa nieokreślona
Dolcur | Colchicinum 0,5 mg | Leki układu mięśniowo‑szkieletowego
INOVOX Ultra smak miętowy | Flurbiprofenum 8.75 mg | Leki układu oddechowego
Purevax Rabies | Rekombinowany w wirusie Canarypox antygen (vCP65) wirusa wścieklizny ≥ 106,8 FAID*50 | Farmakologiczna grupa nieokreślona
Broadline | Fipronil 24.9 mg + S-Methoprenum 30 mg + Eprinomectinum 1.2 mg + Praziquantelum 24.9 mg | Farmakologiczna grupa nieokreślona
NexGard | Afoxolanerum 11 mg | Farmakologiczna grupa nieokreślona
Levofloxacin Sandoz | Levofloxacinum 5  mg/ml | Fluorochinolony
Gonavet Veyx Depherelin | Gonadorelina[6-D-Phe] 50 mcg/1 ml | Farmakologiczna grupa nieokreślona
Nexgard Spectra | Afoxolanerum 9.375 mg + Milbemycini oxime 1.875 mg | Farmakologiczna grupa nieokreślona
Agrocia | Minoxidilum 20 mg/ml | Leki dermatologiczne
BioEquin FH | Inaktywowany szczep wirusa grypy koni A/Equi 2/Brno 08 (typ amerykański, linia Floryda 2) H3N8 1.80617997398 HIT/1 ml + Herpeswirus koni, typ 1 (EHV-1), Inaktywowany 2.1 HIT/1 ml + Inaktywowany szczep wirusa grypy koni A/Equi 2/Limerick 2010 (typ amerykański, linia Floryda 1) H3N8 1.80617997398 HIT/1 ml | Farmakologiczna grupa nieokreślona
Ivabradine Anpharm | Ivabradinum 5 mg | Leki układu sercowo‑naczyniowego
Tribux | Trimebutini maleas 100 mg | Leki przewodu pokarmowego i metaboliczne
InPar | Praziquantelum 50 mg + Pyranteli embonas 144 mg + Fenbendazolum 200 mg | Farmakologiczna grupa nieokreślona
Amoxy Active | Amoxicillinum trihydricum 697 mg/g | Farmakologiczna grupa nieokreślona
Hyogen | Inaktywowane komórki Mycoplasma hyopneumoniae - | Farmakologiczna grupa nieokreślona
Rupatadinum Noucor | Rupatadinum 10 mg | Leki układu oddechowego
Fluconazolum Aflofarm | Fluconazolum 5 mg/ml | Leki przeciwbakteryjne i przeciwzakaźne
Methofill | Methotrexatum 50 mg/ml | Leki przeciwnowotworowe i immunomodulujące
Bilaxten | Bilastinum 10 mg | Leki układu oddechowego
Calcium folinate Sandoz | Acidum folinicum 10 mg/ml | Pozostałe produkty lecznicze
AirFluSal Forspiro | Salmeteroli xinafoas 50 mcg + Fluticasoni propionas 250 mcg | Leki układu oddechowego
Osphos | Dinatrii clodronas hedrahydricus 74.98 mg/1 ml | Farmakologiczna grupa nieokreślona
Nanolipo | Lidocainum | Leki działające na układ nerwowy
Ipratropium /Salbutamol Cipla | Ipratropii bromidum 0,5 mg + Salbutamolum 2,5 mg | Leki układu oddechowego
Ibandronic Acid Aurovitas | Acidum ibandronicum 150 mg | Leki układu mięśniowo‑szkieletowego
Etform | Metformini hydrochloridum 1000 mg | Biguanidy
Iprixon Neb | Ipratropii bromidum 0,5 mg + Salbutamoli sulfas 2,50 mg | Leki układu oddechowego
ApoAmlo | Amlodipini besilas 6.9348 mg | Antagoniści kanału wapniowego
Olamide | Metoclopramidi hydrochloridum | Leki przewodu pokarmowego i metaboliczne
Hydroxyzine Orion | Hydroxyzini hydrochloridum 10 mg | Leki działające na układ nerwowy
Onsior | Robenacoxibum 6 mg | Farmakologiczna grupa nieokreślona
Reseligo | Goserelini acetas 4,1 mg | Leki przeciwnowotworowe i immunomodulujące
Roticox | Etoricoxibum 30 mg | Leki układu mięśniowo‑szkieletowego
Imrestor | Pegbovigrastim 15 mg | Farmakologiczna grupa nieokreślona
Praxbind | Idarucizumabum 2,5 g/50 ml | Pozostałe produkty lecznicze
Valdix Forte | Valerianae extractum hydroalcoholicum siccum 355 mg | Leki działające na układ nerwowy
Canizol vet | Ketoconazolum 200 mg | Farmakologiczna grupa nieokreślona
Carprodolor | Carprofenum 50 mg/ml | Farmakologiczna grupa nieokreślona
Tylogran | Tylosini tartars 1 g/g | Farmakologiczna grupa nieokreślona
Calcium Folinate Kabi | Calcii folinas 10 mg/ml | Pozostałe produkty lecznicze
ReproCyc PRRS EU | Wirus zespołu rozrodczo-oddechowego świń − PRRSV,  typ 1, szczep 94881, żywy, atenuowany 10^3,9 -10^7,0 TCID50 - dawka zakaźna dla 50% hodowli tkankowych | Farmakologiczna grupa nieokreślona
Elocta | Efmoroctocogum alfa 250 IU | Leki działające na krew i układ krwiotwórczy
Ingelvac PRRSFLEX EU | Żywy, atenuowany wirus Zespołu Rozrodczo-Oddechowego Świń (PRRSV), szczep 94881 (genotyp 1) - | Farmakologiczna grupa nieokreślona
Nucala | Mepolizumabum 100 mg | Leki układu oddechowego
Ceffect LC | Cefquinomum 75 mg | Farmakologiczna grupa nieokreślona
Fortekor Plus | Pimobendanum 1.25 mg + Benazeprili hydrochloridum 2.5 mg | Farmakologiczna grupa nieokreślona
Neurapas | Hyperici herba extractum siccum 60 mg + Passiflorae herba extractum siccum 32 mg + Valerianae extractum hydroalcoholicum siccum 28 mg | Farmakologiczna grupa nieokreślona
Okitask | Ketoprofenum lysinum 40.04 mg | NLPZ
Ciambra | Pemetrexedum 100 mg | Leki przeciwnowotworowe i immunomodulujące
Cotellic | Cobimetinibum 20 mg | Leki przeciwnowotworowe i immunomodulujące
Kyleena | Levonorgestrelum 19.5 mg | Leki układu moczowo‑płciowego i hormony płciowe
Simparica | Sarolanerum 5 mg | Farmakologiczna grupa nieokreślona
Acard Cor | Acidum acetylsalicylicum 75 mg | Leki przeciwpłytkowe
Promazine Hasco | Promazini hydrochloridum 25 mg | Leki działające na układ nerwowy
Remidia | Sildenafilum 20 mg | Leki układu moczowo‑płciowego i hormony płciowe
Sallevia | Thymi extractum fluidum 110 mg/ml | Farmakologiczna grupa nieokreślona
Milpro | Milbemycini oxime 16 mg + Praziquantelum 40 mg | Farmakologiczna grupa nieokreślona
Oxytan 200 | Oxytetracyclinum (as oxytetracyclinum dihydratum) 216 mg/1 ml | Farmakologiczna grupa nieokreślona
Cyclavance | Ciclosporinum 100 mg/ml | Farmakologiczna grupa nieokreślona
Eprecis | Eprinomectinum 5 mg/ml | Farmakologiczna grupa nieokreślona
Obizur | Antyhemolityczny czynnik VIII (rekombinowany), sekwencja świni 500 j./ml | Leki działające na krew i układ krwiotwórczy
Aripiprazole Accord | Aripiprazolum 5 mg | Leki działające na układ nerwowy
Alfaglandin C | Cloprostenolum 0.25 mg/ml | Farmakologiczna grupa nieokreślona
Blincyto | Blinatumomabum 38.5 mcg | Leki przeciwnowotworowe i immunomodulujące
Ebymect | Dapagliflozinum 5 mg + Metformini hydrochloridum 850 mg | Leki przewodu pokarmowego i metaboliczne
Curacef Duo | Ceftiofuri hydrochloridum 50 mg/ml + Ketoprofenum 150 mg/ml | Farmakologiczna grupa nieokreślona
Edistride | Dapagliflozinum 5 mg | Inhibitory SGLT2
Cinacalcet Viatris | Cinacalcetii hydrochloridum 30 mg | Leki hormonalne
Pemetrexed Pfizer | Pemetrexedum 100 mg | Leki przeciwnowotworowe i immunomodulujące
Orkambi | Lumacaftorum 200 mg + Ivacaftorum 125 mg | Leki układu oddechowego
Sildenafil Aurovitas | Sildenafili citras 28.096 mg | Leki układu moczowo‑płciowego i hormony płciowe
Kyprolis | Carfilzomibum 60 mg | Leki przeciwnowotworowe i immunomodulujące
Genvoya | Elvitegravirum 150 mg + Cobicistatum 150 mg + Emtricitabinum 200 mg + Tenofovirum alafenamidum 10 mg | Leki przeciwbakteryjne i przeciwzakaźne
Disocor | Ivabradinum 2,5 mg | Leki układu sercowo‑naczyniowego
Bixebra | Ivabradini hydrochloridum 5,39 mg | Leki układu sercowo‑naczyniowego
Masivet | Masitinibi mesilas 50 mg | Farmakologiczna grupa nieokreślona
Zolvix | Monepantelum 25 mg/ml | Farmakologiczna grupa nieokreślona
Isemid 2 mg | Torasemidum 2 mg | Farmakologiczna grupa nieokreślona
Equioxx | Firocoxib 8,2 mg/g | Farmakologiczna grupa nieokreślona
Fluconazole Hasco | Fluconazolum 5 mg/ml | Leki przeciwbakteryjne i przeciwzakaźne
Pantorena | Pantoprazolum 20 mg | IPP
Reconcile | Fluoxetinum 8 mg | Farmakologiczna grupa nieokreślona
Veraflox | Pradofloxacinum 15 mg | Farmakologiczna grupa nieokreślona
neoFuragina Max | Furazidinum | Leki przeciwbakteryjne i przeciwzakaźne
BTVPUR | Inaktywowany wirus choroby niebieskiego języka, serotyp 1 ≥ 1,9 log10 pikseli* + Inaktywowany wirus choroby niebieskiego języka, serotyp 8 ≥ 2,1 log10 pikseli* | Farmakologiczna grupa nieokreślona
Prac-Tic | Pyriprole 56.25 | Farmakologiczna grupa nieokreślona
Nobilis Influenza H5N2 | Szczepionka przeciw wirusowi grypy ptaków, inaktywowana - | Farmakologiczna grupa nieokreślona
Melosus | Meloxicamum 1.5 mg | Farmakologiczna grupa nieokreślona
Raenom | Ivabradinum 5 mg | Leki układu sercowo‑naczyniowego
Hydrocortisonum Amara | Hydrocortisoni acetas 0.5 g/100 g | Leki dermatologiczne
Equilis Te | Toksoid tężcowy 40 Lf 1 | Farmakologiczna grupa nieokreślona
Profender | Emodepsidum 7.5 mg + Prazikwantel 30 mg | Farmakologiczna grupa nieokreślona
Azelamed | Azelastini hydrochloridum 0.5 mg/ml | Leki okulistyczne i otologiczne
Ivabradine Genoptim | Ivabradinum 5 mg | Leki układu sercowo‑naczyniowego
